cause,effect,n_obs,adf_p_cause,adf_p_effect,maxlag_searched,lag_aic,lag_bic,lag_used_bic,bic_lag_floored,F_bic,df_num_bic,df_denom_bic,p_bic,chi2_bic,chi2_p_bic,hac_F_bic,hac_p_bic,hac_maxlags,sig_raw_bic,sig_raw_hac_bic,lag_used_aic,aic_lag_floored,aic_at_boundary,F_aic,p_aic,sig_raw_aic,p_bic_fdr_bh,p_bic_bonf,sig_fdr_bh,sig_bonf,hac_p_bic_fdr_bh,sig_hac_fdr_bh,alignment_robust
2330.TW,3711.TW,1250,6.3567608108805994e-18,0.0,10,1,1,1,False,14.786841338305157,1,1246,0.00012645521242081331,14.822443685026597,0.00011812135191343675,9.307343895614922,0.002330603122486021,6,True,True,1,False,False,14.786841338305157,0.00012645521242081331,True,0.001154591069929165,0.026555594608370797,True,True,0.018824102143156322,True,"robust (intra-Asia, no cross-timezone shift)"
2330.TW,4062.T,1250,6.3567608108805994e-18,0.0,10,0,0,1,True,0.9215636498783678,1,1246,0.33725098646873075,0.9237825029679626,0.33648376657186824,0.8410191862800773,0.35928291218969843,6,False,False,1,True,False,0.9215636498783678,0.33725098646873075,False,0.513208022887199,1.0,False,False,0.5894485278112239,False,"robust (intra-Asia, no cross-timezone shift)"
2330.TW,600584.SS,1250,6.3567608108805994e-18,0.0,10,0,0,1,True,0.060445763929295626,1,1246,0.8058332660127917,0.060591299476476915,0.8055637967490008,0.05840685601748549,0.8090716882995757,6,False,False,1,True,False,0.060445763929295626,0.8058332660127917,False,0.8764746006791669,1.0,False,False,0.8942371291732152,False,"robust (intra-Asia, no cross-timezone shift)"
2330.TW,6239.TW,1250,6.3567608108805994e-18,0.0,10,1,1,1,False,20.69128831110865,1,1246,5.922318773433487e-06,20.741106822291094,5.257517233071829e-06,15.982879198761655,6.767120687373899e-05,6,True,True,1,False,False,20.69128831110865,5.922318773433487e-06,True,7.773043390131451e-05,0.0012436869424210322,True,True,0.0027359751921620028,True,"robust (intra-Asia, no cross-timezone shift)"
2330.TW,8046.TW,1250,6.3567608108805994e-18,0.0,10,2,0,1,True,13.862482790325775,1,1246,0.00020546758496580968,13.895859554668451,0.00019322366023808828,12.0334591296866,0.0005403719379431104,6,True,True,2,False,False,7.653299028866955,0.000497179183199474,True,0.001598081216400742,0.04314819284282003,True,True,0.007565207131203546,True,"robust (intra-Asia, no cross-timezone shift)"
2330.TW,AMKR,1250,6.3567608108805994e-18,7.046795987286572e-14,10,1,1,1,False,21.660748553489924,1,1246,3.601541755670131e-06,21.712901238610687,3.166545401267096e-06,15.720074269746076,7.761681614979911e-05,6,True,True,1,False,False,21.660748553489924,3.601541755670131e-06,True,5.817875143774827e-05,0.0007563237686907275,True,True,0.0027359751921620028,True,"alignment-sensitive, not interpreted as lead-lag"
2330.TW,INTC,1250,6.3567608108805994e-18,0.0,10,1,0,1,True,6.038681862871238,1,1246,0.014131189006605987,6.0532212253019075,0.013880951142357333,3.6441009636830786,0.05649771006274872,6,True,False,1,False,False,6.038681862871238,0.014131189006605987,True,0.054954623914578844,1.0,False,False,0.20572693850446244,False,"alignment-sensitive, not interpreted as lead-lag"
2449.TW,002156.SZ,1250,0.0,0.0,10,0,0,1,True,1.4208811933277878,1,1246,0.23348539355684683,1.4243022555910168,0.23269656891351737,1.2012175713104127,0.27329024956793674,6,False,False,1,True,False,1.4208811933277878,0.23348539355684683,False,0.41907634740972505,1.0,False,False,0.49474958973505784,False,"robust (intra-Asia, no cross-timezone shift)"
2449.TW,002185.SZ,1250,0.0,0.0,10,0,0,1,True,0.005446091551882329,1,1246,0.9411832505980438,0.005459204131862784,0.9411007558124299,0.004846169927301961,0.9445117155489128,6,False,False,1,True,False,0.005446091551882329,0.9411832505980438,False,0.9594586535222777,1.0,False,False,0.9628517488605421,False,"robust (intra-Asia, no cross-timezone shift)"
2449.TW,005930.KS,1250,0.0,8.911787422369986e-10,10,2,2,2,False,1.0110778417767046,2,1243,0.36412564062862995,2.0302898576626345,0.3623499110777011,0.5970147001323035,0.5506102135404081,6,False,False,2,False,False,1.0110778417767046,0.36412564062862995,False,0.5394686624872568,1.0,False,False,0.7318237015410487,False,"robust (intra-Asia, no cross-timezone shift)"
2449.TW,2330.TW,1250,0.0,6.3567608108805994e-18,10,2,0,1,True,0.30854672733523353,1,1246,0.5786730573042183,0.3092896167268914,0.5781164323514325,0.28630782108573827,0.5926918153730709,6,False,False,2,False,False,1.7619147942125324,0.1721443270059863,False,0.7106511230051803,1.0,False,False,0.749790850773162,False,"robust (intra-Asia, no cross-timezone shift)"
2449.TW,3037.TW,1250,0.0,2.227320134455109e-30,10,0,0,1,True,0.04243095225684217,1,1246,0.8368341324306727,0.04253311345810262,0.8366068982619037,0.03154737738217926,0.8590535736513949,6,False,False,1,True,False,0.04243095225684217,0.8368341324306727,False,0.8875513525779862,1.0,False,False,0.9174721948835812,False,"robust (intra-Asia, no cross-timezone shift)"
2449.TW,3189.TW,1250,0.0,0.0,10,0,0,1,True,1.1109642436247475,1,1246,0.29207678257049247,1.1136391174055456,0.2912922510741034,0.6677250264563922,0.41400210503880164,6,False,False,1,True,False,1.1109642436247475,0.29207678257049247,False,0.4650713873782494,1.0,False,False,0.6392679563099143,False,"robust (intra-Asia, no cross-timezone shift)"
2449.TW,3264.TWO,1250,0.0,7.79526395883989e-27,10,7,0,1,True,8.497956015427338,1,1246,0.0036190349124453594,8.51841658368278,0.003515702509967153,5.241312021452031,0.022223246940051802,6,True,True,7,False,False,3.919753410617386,0.00030785724841442567,True,0.017674356549151757,0.7599973316135255,True,False,0.11111623470025901,False,"robust (intra-Asia, no cross-timezone shift)"
