alignment,cause,effect,n,lag,F,p,hac_F,hac_p
B_minus1bday (reverse placebo),002156.SZ,AMKR,1250,1,1.2458529405438652,0.2645612280123859,0.6887998449411453,0.40673187728845106
B_minus1bday (reverse placebo),AMKR,002156.SZ,1250,1,14.039512830680303,0.00018719818558440466,10.408525855418576,0.0012869593902773585
B_minus1bday (reverse placebo),002185.SZ,AMKR,1250,1,1.5701391895704269,0.21042189602005587,1.1154696439459608,0.29110078462678546
B_minus1bday (reverse placebo),AMKR,002185.SZ,1250,1,8.772818247866015,0.0031154817001318594,6.610302696308373,0.010254245645294558
B_minus1bday (reverse placebo),005930.KS,AMKR,1250,2,4.229165004896807,0.014774675163595397,2.6526311043702897,0.07086445591256345
B_minus1bday (reverse placebo),AMKR,005930.KS,1250,2,59.39777810769063,2.3080899527633658e-25,11.738653878674768,8.902551017192883e-06
B_minus1bday (reverse placebo),4062.T,AMKR,1250,2,0.8500451169668467,0.42764394674654915,0.2882524973255906,0.749622395391381
B_minus1bday (reverse placebo),AMKR,4062.T,1250,2,69.86013337420717,1.7677520187724584e-29,28.167151287521104,1.087087743248448e-12
B_minus1bday (reverse placebo),2330.TW,INTC,1250,2,0.3331629568111623,0.7167173768781219,0.2873012726659267,0.7503354636134039
B_minus1bday (reverse placebo),INTC,2330.TW,1250,2,66.56892627974972,3.430916850940696e-28,28.135437400941708,1.120575011163657e-12
B_minus1bday (reverse placebo),3711.TW,INTC,1250,2,0.28636156649383604,0.7510405643071865,0.29126425620412444,0.7473691588051109
B_minus1bday (reverse placebo),INTC,3711.TW,1250,2,52.89660336149332,8.969310018833235e-23,26.74045974825836,4.262426660245401e-12
B_minus1bday (reverse placebo),6239.TW,INTC,1250,2,0.8415786963612493,0.43127496795559017,0.3621218141471756,0.6962709777574274
B_minus1bday (reverse placebo),INTC,6239.TW,1250,2,28.844034228593955,5.691015487965834e-13,12.164327834930752,5.863198031858435e-06
B_minus1bday (reverse placebo),2449.TW,INTC,1250,2,0.9699230239930723,0.37939895658342393,0.8773366648568267,0.41614646409007583
B_minus1bday (reverse placebo),INTC,2449.TW,1250,2,21.387494393108625,7.375227447199162e-10,8.410142565483392,0.00023551223382184356
B_minus1bday (reverse placebo),3264.TWO,INTC,1250,1,0.3282634324211018,0.5667868112073351,0.18557100168322124,0.6667031935351766
B_minus1bday (reverse placebo),INTC,3264.TWO,1250,1,2.8994234326619748,0.0888606468016244,1.7816934048205735,0.1821853654056457
B_minus1bday (reverse placebo),3037.TW,INTC,1250,2,0.6715822964725608,0.5110848234888317,0.5721233362293286,0.5644744470349785
B_minus1bday (reverse placebo),INTC,3037.TW,1250,2,36.43482558383785,4.1976611117329444e-16,22.968591596939312,1.6024052148747678e-10
B_minus1bday (reverse placebo),8046.TW,INTC,1250,2,0.4688193834734353,0.6258511918480443,0.38002798011056604,0.6839217012362511
B_minus1bday (reverse placebo),INTC,8046.TW,1250,2,44.081036386728854,3.1935974426720255e-19,36.33692775880411,4.604393033534081e-16
B_minus1bday (reverse placebo),3189.TW,INTC,1250,2,0.4455067980184801,0.6406018210684589,0.32712494258123703,0.7210557063300389
B_minus1bday (reverse placebo),INTC,3189.TW,1250,2,18.32868595944585,1.429124558286182e-08,14.531160532926023,5.778868052992516e-07
B_minus1bday (reverse placebo),600584.SS,INTC,1250,1,0.06442220597394328,0.799680128957202,0.05503774114025416,0.8145567927431656
B_minus1bday (reverse placebo),INTC,600584.SS,1250,1,13.865040745585208,0.00020519119645871493,9.751087920254868,0.0018334423638445264
B_minus1bday (reverse placebo),002156.SZ,INTC,1250,1,0.08396080241802399,0.7720481336584617,0.04446367932826601,0.8330277778230226
B_minus1bday (reverse placebo),INTC,002156.SZ,1250,1,6.0347911589295276,0.014162213534178797,4.624028509322294,0.03171903727442086
B_minus1bday (reverse placebo),002185.SZ,INTC,1250,1,3.2674080758903346,0.07091027202558313,1.9150482380395182,0.16665140492604785
B_minus1bday (reverse placebo),INTC,002185.SZ,1250,1,12.504603875148026,0.0004208468927471201,10.812376244362538,0.0010363802539561926
B_minus1bday (reverse placebo),005930.KS,INTC,1250,2,0.38092787771381537,0.6833068947895546,0.22437479228036128,0.7990479679981093
B_minus1bday (reverse placebo),INTC,005930.KS,1250,2,39.34014201775648,2.7148240513163036e-17,13.21965099078343,2.0844224696383744e-06
B_minus1bday (reverse placebo),4062.T,INTC,1250,2,0.8483625746816351,0.4283630979693617,0.36343242475527526,0.695359567012062
B_minus1bday (reverse placebo),INTC,4062.T,1250,2,81.87487391183298,3.954000119862329e-34,35.25122802547351,1.2853127644186685e-15
B_minus1bday (reverse placebo),AMKR,INTC,1250,1,0.06986700912415453,0.7915742260216234,0.07976149882488473,0.777667785723233
B_minus1bday (reverse placebo),INTC,AMKR,1250,1,1.9251202081337775,0.16554140208123314,1.354834480396156,0.24465755118458565
